start	end	text
0	7000	In this session we will see how the electric motors are used in the automotive field.
7000	13000	We will see particular configuration and examples of car.
18000	24000	Just a reminder to the classification of hybrid vehicle, we can have
24000	32000	Milled hybrid electric vehicle, also known as MHEV.
32000	39000	The vehicle is driven by a combustion engine powered by a compact electric motor.
39000	44000	It can have the electric motor in different positions.
44000	51000	Full hybrid electric vehicle, also known as FHEV.
51000	56000	It has both combustion and electric engines.
56000	62000	At low speed and short distances, a fully electric propulsion is possible.
62000	68000	The engine hybrid electric vehicle, also known as PHEV.
68000	74000	It reaches higher speeds and longer distances, unlike full hybrid.
74000	86000	They can only be charged from external points and can have a larger battery pack than the FHEV.
86000	92000	Because the size is not limited to the stored kinetic energy.
92000	100000	On the right of this slide, you can see all the position of the engines in an hybrid vehicle's architecture.
100000	109000	Hybrid vehicles uses an internal combustion engine and at least one electric motor.
109000	119000	In hybrid electric vehicles, we can find many abbreviations as P0, P1, P2, P3, P4 and P5.
119000	125000	Each abbreviation depends on the position of the electric motor in the hybrid powertrain.
125000	138000	In some way, the number identifies the distance between the electric motor and the wheels, which decreases from P0 to P5.
138000	148000	In the P0 configuration, the electric motor can be mounted in place of the alternator and then connected to the engine with a belt.
148000	155000	These are belt driven starter generators, which also act as a starter motor and generator.
155000	162000	In the P1 configuration, the electric motor is inserted on the motor shaft.
162000	169000	It runs at the same speed as the crankshaft and requires some more modifications.
169000	177000	In this slide, we can see an example of P0 configuration in Audi system.
177000	188000	This car is the Audi A8 48 voltage M HEP.
188000	194000	We can see a DC DC converter to pass from 12 to 48 voltages.
194000	201000	We can see a 12 voltage battery and the 48 volt battery.
201000	211000	The battery is needed for the integrated BSG, a motor in P0 configuration right here.
211000	216000	And this is the internal combustion engine.
216000	226000	In P2 configuration, the electric motor is placed between the engine and the transmission, directly on the shaft or through a gearbox.
226000	234000	The engine insertion system implies a clutch that disconnects the internal combustion engine.
234000	242000	So it is possible to drive in full electric by the opening of the clutch.
242000	246000	We can have two configurations to put the P2 motor.
246000	254000	We can have the integrated electric motor configuration or the side electric motor configuration.
254000	260000	In this slide, we can see an example of P2 configuration in Porsche Panamera system.
260000	273000	We can see the internal combustion engine, the electric motor in P2 configuration, the ZF transmission and the battery pack in the posterior part of the car.
273000	279000	Here we can see the P2.5 configuration.
279000	284000	This configuration is possible only with dual clutch transmission.
284000	292000	The electric motor is placed inside the transmission on one of the two concentric transmission shafts.
292000	305000	So that one shaft is completely driven by the internal combustion engine while the other one is driven also by electric machine.
305000	318000	Electric creeping or drive is possible by moving just even gear shafts, but also combined combustion and electric power mode is possible.
318000	328000	In P3 configuration, this configuration moves the engine downstream of the gearbox.
328000	337000	In this way, losses are minimized since the electric motor only drives the final part of transmission.
337000	347000	In the P4 configuration, the electric motor acts exclusively on the axis not connected to the internal combustion engine.
