start	end	text
0	8960	Hello everyone, I am Pasquale Perrotta, and this is the second module of V-Cycle Explanation.
9640	16780	As all the lessons that I'm recording, the lesson will start just showing you the references, okay?
17180	24700	So, here we have my reference, okay, name and surname, plus the, sorry, name and last name,
24700	33040	and the email address, which is pasquale.perrotta, head sign kineton.it.
33820	40200	I like to start in this way, because whenever you have, in case you have doubts after this explanation,
40420	48740	or even after the explanation of the first module of the V-Cycle, and you have some curiosities, doubts, problems, whatever,
48740	59520	you know, you can write an email to that, yeah, the email shown over there, or simply you can send me a message in chat.
61260	74760	The aim of today's video recording is to go deeper into details about V-Cycle Explanation that you have already watched and received with the other video,
74760	84460	V-Cycle Part 1. Why is this needed? This is needed because, because of, basically, one reason.
85240	94500	In the, in the past video recording, what you have seen, basically, it's a simplified version of the V-Cycle,
94640	98020	which looks like something like this, okay, which looks like this.
98020	111240	I will not explain the V-Cycle again, using this scheme, because you have already had this explanation in the other video.
111420	119260	So, I will be very fast on this slide, and then we will go through the reason why I'm recording this,
119500	123240	let's say, deeper explanation about the V-Cycle.
123240	131020	So, you have already seen this, so, as you know, the first and most important thing is the software requirements, okay?
131160	133360	Everything starts from requirements.
133680	139620	So, please, you will listen me or other people saying this many times.
139720	145220	The requirements are the starting point for all the activities that we are going to do, okay?
145220	151480	So, whatever you're doing, if you're working on the diagnosis, if you're working on network,
151780	155700	if you're working in the car, the child, wherever you are working,
156340	160760	the first input of the activities is always the requirements.
161940	162660	Why so?
163400	171700	Requirements are extremely important because we need a set of instructions that then have to be implemented in the software.
171700	174920	So, here we have software requirements.
175100	176820	Basically, these are documents, okay?
176900	183080	Like Word documents, PDF documents, you know, textual documents, okay?
183960	190640	These documents will, once they're prepared, let's say, they are shared to the software development team
190640	193380	that will create an architecture of the software.
193980	202380	We'll start to deeper these software architectures, starting to, let's say, think about big blocks
202380	208140	that should, let's say, be part of the software itself.
208400	214560	So, they will divide software in domains, but, yeah, we will not go into details now about that.
214560	220600	And finally, the software developer team will write the actual code, okay?
221640	227500	This will not be the aim of this lesson and probably of this learning phase.
227720	235240	If you're following a validation program, we will not go through the phases of software architecture,
235500	237760	software configuration, and software construction.
239240	241080	But why this is important?
241180	246300	This is important because the software developers will consider as an input software requirements.
246300	252600	And then, once the software is ready, this software is delivered to the testing team
