start	end	text
0	6000	Hello everyone, I'm Pasquale Perrotta and this is the Module 2 of Diagnosis topic.
6000	16000	There will be three modules, the first one already available for the Diagnosis introduction,
16000	22000	the second one which is related to default management, and the third one which will be
22000	28000	a walkthrough of the UDS to understand how to read it, how to use it, and things like this.
28000	34000	But in the Module 2, we will work exactly for default management.
34000	40000	In particular, we will understand what is the status of the DTC,
40000	45000	analyzing the behavior of each of these eight bits.
45000	52000	The introduction that I gave for the Diagnosis is very general to make you aware
52000	57000	what is the Diagnosis, why do we use the UDS, why it is important to use it,
57000	61000	and things like this. But that was pretty an introductory lesson,
61000	68000	and not being very practical, being quite, let's say, far from the practical use of the UDS.
68000	76000	So the intention of these two further modules is to make you closer to the concrete activities
76000	81000	that you are going to do once you work for a client.
81000	87000	And these will be very, very, very helpful for whatever activities you are going to do,
87000	92000	which is going to be validation, verification, hardware-in-the-loop configuration, everything.
92000	96000	So this will come in handy every time.
96000	101000	Of course, in the slides and also in the norms that you will get, there are definitions.
101000	106000	So everything that I'm going to say is reported already in the norms.
106000	114000	So this lesson is a way to make things easier or to raise in you doubts about you understood.
114000	122000	But anyway, everything is already reported and present in the slides and the norms
122000	124000	for other presentations and things like this.
124000	128000	So you have the references in case of problems.
128000	133000	I please refer to your references.
133000	138000	So here there is a definition and most of all some names.
138000	150000	But I would like to use, as always, a tool that for me is very helpful, which is paint.
150000	153000	I already prepared a couple of things that could be helpful.
153000	160000	But here I would just like to mention two additional things.
160000	167000	So as we said probably in the previous module, or if not, I'm going to tell you now.
167000	175000	Every time we refer to a diagnostic trouble code, the DTC, we need three bytes to refer to it.
175000	181000	So the identification number for the specific diagnostic trouble code is based on three bytes.
181000	184000	Okay, so we will have something like this.
184000	190000	I write it here, you know, in a small character and dimension.
190000	197000	So we will have, I don't know, I'm just inventing, you know, a possible diagnostic trouble code
197000	202000	that could be, I don't know, 01, 22, 92, for example.
202000	203000	Okay.
203000	207000	Okay, we can make it even a bit bigger.
207000	208000	Okay.
208000	215000	So as you see here, so I already write something, then we will understand what is that.
215000	218000	So let's put, let's make it be even bigger.
